client_id,preferred_location,property_type,min_budget,max_budget,min_bedrooms,max_bedrooms,min_bathrooms,min_square_feet
754,St. George,duplex,4339,4855,2,4,2,1511
755,Hoboken Waterfront,condo,883926,1091381,1,3,1,1478
757,West Hartford Center,duplex,5418,6873,3,5,3,1638
758,Downtown Bridgeport,condo,3021,3797,2,4,2,1372
760,Upper West Side,condo,5920,7307,2,4,2,1548
761,DUMBO,duplex,4767,5789,1,3,1,1112
762,Williamsburg,single-family home,869513,1300700,2,4,2,1677
764,Upper West Side,condo,5870,7943,2,4,2,1189
765,Downtown Jersey City,duplex,780794,932701,2,4,2,1682
766,Park Slope,condo,3533,4930,1,3,1,830
767,Riverdale,co-op,716255,851140,2,4,2,1144
769,Downtown Jersey City,co-op,614414,821307,1,3,1,1352
772,Montclair Center,single-family home,878317,1047261,2,4,2,1582
773,Greenwich Downtown,condo,7808,10702,4,6,4,2100
774,Forest Hills,condo,508835,702262,1,3,1,1136
775,DUMBO,single-family home,548552,770854,0,2,1,739
776,Riverdale,apartment,762431,1142186,3,5,3,1673
777,West Hartford Center,apartment,637947,799127,1,3,1,940
778,Forest Hills,single-family home,4522,5968,2,4,2,1374
779,West Hartford Center,apartment,6500,8283,4,6,4,2119
780,Forest Hills,single-family home,832836,1085219,4,6,4,2114
782,Chelsea,townhouse,8760,11517,4,6,4,2386
783,Downtown Jersey City,duplex,477212,719535,0,2,1,576
784,Hoboken Waterfront,townhouse,1071026,1604079,3,5,3,1863
786,Forest Hills,apartment,3506,4647,1,3,1,1117
787,SoHo,condo,1318044,1664094,2,4,2,1549
788,Tribeca,single-family home,1735133,2125200,4,6,4,2438
789,DUMBO,single-family home,744969,1131405,1,3,1,1062
791,DUMBO,duplex,1180481,1660819,2,4,2,1684
792,Jersey City Waterfront,condo,3278,4401,0,2,1,768
794,Upper East Side,condo,5540,7290,2,4,2,1258
795,Downtown Stamford,single-family home,5337,6718,2,4,2,1406
796,Downtown Stamford,apartment,641901,907233,1,3,1,1228
797,SoHo,townhouse,1030895,1308959,1,3,1,1254
798,Williamsburg,apartment,633896,789466,1,3,1,970
799,St. George,apartment,3666,5140,2,4,2,1726
800,West Hartford Center,single-family home,2441,3067,0,2,1,781
803,Forest Hills,condo,484164,624246,0,2,1,608
804,St. George,townhouse,550267,676290,1,3,1,911
805,Long Island City,condo,4587,5628,1,3,1,1022
806,Park Slope,condo,923319,1395370,4,6,4,2055
809,Astoria,apartment,5858,6986,3,5,3,1842
811,Long Island City,condo,4048,5366,1,3,1,1325
812,Forest Hills,co-op,836668,994813,2,4,2,1509
813,Upper West Side,single-family home,7232,8974,3,5,3,1744
814,Chelsea,apartment,6363,7458,1,3,1,1283
817,SoHo,single-family home,826884,1074221,0,2,1,767
818,SoHo,single-family home,1030073,1249348,1,3,1,882
819,Greenwich Downtown,single-family home,834578,1184989,1,3,1,959
820,Downtown Bridgeport,apartment,643097,961042,3,5,3,1962
823,Hoboken Waterfront,apartment,5728,7861,3,5,3,1526
824,Tribeca,condo,972951,1342737,1,3,1,991
826,St. George,townhouse,4320,4887,3,5,3,1552
830,SoHo,single-family home,722927,1061707,1,3,1,1179
831,Williamsburg,condo,6995,8143,2,4,2,1214
832,Jersey City Waterfront,co-op,7266,8388,3,5,3,1789
835,Downtown Jersey City,apartment,4700,5579,1,3,1,1234
836,Downtown Bridgeport,apartment,2077,2874,0,2,1,855
837,Riverdale,single-family home,664135,986369,2,4,2,1483
838,Tribeca,single-family home,1184301,1587740,1,3,1,990
840,DUMBO,co-op,1200408,1771029,3,5,3,1588
841,Riverdale,townhouse,5431,6627,3,5,3,1860
845,Astoria,single-family home,457611,643674,1,3,1,920
846,West Hartford Center,condo,702396,1011411,2,4,2,1510
848,Downtown Bridgeport,single-family home,2155,2892,1,3,1,731
849,Tribeca,co-op,1712839,2024102,4,6,4,1926
850,Forest Hills,apartment,837166,1037631,2,4,2,1639
851,Chelsea,apartment,878446,1176201,2,4,2,1492
853,Forest Hills,apartment,372818,555150,1,3,1,807
854,Greenwich Downtown,co-op,685638,1035937,1,3,1,893
861,Greenwich Village,single-family home,4599,6491,0,2,1,774
862,DUMBO,apartment,1199160,1497247,2,4,2,1442
863,Greenwich Village,duplex,1254401,1815131,2,4,2,1135
867,Financial District,condo,1178134,1635601,4,6,4,1933
868,Chelsea,condo,8269,9738,3,5,3,1880
870,Park Slope,apartment,5971,7760,2,4,2,1246
872,SoHo,single-family home,1155462,1433291,1,3,1,920
873,Montclair Center,single-family home,522811,684266,1,3,1,1049
874,Greenwich Village,co-op,868700,1082292,0,2,1,709
875,Downtown Jersey City,single-family home,3297,4466,1,3,1,1003
876,DUMBO,apartment,4842,5692,1,3,1,785
877,Upper East Side,apartment,5511,7657,1,3,1,1148
878,Financial District,townhouse,843781,1028676,0,2,1,904
880,St. George,co-op,4038,4938,3,5,3,1734
881,Riverdale,condo,607074,904104,2,4,2,1552
882,Long Island City,apartment,8696,11081,4,6,4,1992
884,Downtown Jersey City,apartment,493582,733877,1,3,1,1189
885,Astoria,single-family home,650625,968101,3,5,3,1733
886,Tribeca,condo,911293,1261743,1,3,1,725
889,DUMBO,condo,6043,8534,2,4,2,1499
891,Astoria,co-op,844686,1161949,3,5,3,1715
893,Riverdale,duplex,477218,669873,1,3,1,950
896,Riverdale,condo,420229,574511,1,3,1,1077
898,Forest Hills,co-op,329202,495845,0,2,1,917
899,St. George,condo,645175,891756,2,4,2,1646
900,Upper East Side,condo,1037629,1386594,1,3,1,1187
901,Greenwich Village,apartment,7452,9263,2,4,2,1434
902,Greenwich Downtown,apartment,7095,9737,4,6,4,2020
904,Flushing,condo,4041,4513,1,3,1,1184
906,West Hartford Center,single-family home,3035,3390,0,2,1,569
909,Chelsea,condo,970852,1407405,2,4,2,1469
910,Financial District,apartment,738325,870531,0,2,1,764
911,Greenwich Village,apartment,9493,12094,4,6,4,1967
912,St. George,townhouse,3551,4214,2,4,2,1718
913,Hoboken Waterfront,single-family home,595769,743540,0,2,1,777
914,Downtown Stamford,co-op,4443,5762,1,3,1,1274
915,Greenwich Downtown,co-op,7419,9501,3,5,3,1485
916,St. George,apartment,294288,433112,0,2,1,747
917,Riverdale,single-family home,559668,799369,3,5,3,1645
919,St. George,apartment,409098,487905,1,3,1,907
920,Upper East Side,duplex,899155,1361180,3,5,3,1754
922,Chelsea,condo,781960,1193195,1,3,1,1098
923,SoHo,single-family home,989969,1259758,1,3,1,1325
925,Tribeca,condo,1158460,1495470,2,4,2,1215
926,Chelsea,apartment,1420430,1883886,3,5,3,1611
927,St. George,apartment,570299,826058,2,4,2,1513
928,Greenwich Downtown,apartment,1211950,1613871,3,5,3,1819
929,Jersey City Waterfront,apartment,6774,7770,3,5,3,1797
931,Jersey City Waterfront,single-family home,4094,4801,1,3,1,1219
932,Forest Hills,apartment,573056,850450,1,3,1,982
933,Riverdale,townhouse,671670,926100,3,5,3,1959
935,Riverdale,condo,348933,509114,1,3,1,987
936,Greenwich Downtown,condo,5439,7152,1,3,1,1140
939,Downtown Bridgeport,apartment,2456,3125,1,3,1,1087
941,DUMBO,condo,674545,902413,0,2,1,703
942,Greenwich Village,townhouse,1541444,2060449,3,5,3,2120
943,Jersey City Waterfront,condo,768452,1005246,1,3,1,1223
944,St. George,apartment,510730,749682,2,4,2,1513
945,Upper West Side,townhouse,1139424,1521386,3,5,3,1744
946,Flushing,apartment,541667,751739,1,3,1,1203
947,DUMBO,condo,5412,7670,2,4,2,1254
948,Upper West Side,apartment,654110,904365,1,3,1,1186
950,West Hartford Center,co-op,584608,727995,1,3,1,1107
951,Downtown Stamford,apartment,514167,768022,1,3,1,1125
952,Long Island City,condo,880359,1202043,1,3,1,1297
953,Upper West Side,single-family home,1348416,1927624,4,6,4,1721
954,Downtown Stamford,condo,4041,5637,2,4,2,1221
957,Downtown Bridgeport,single-family home,415231,584025,2,4,2,1501
958,Astoria,single-family home,761220,1004669,3,5,3,1830
959,Upper West Side,apartment,597103,725808,0,2,1,450
962,Hoboken Waterfront,apartment,1030224,1403127,3,5,3,1620
963,Upper East Side,apartment,1115783,1453604,2,4,2,1170
965,Astoria,apartment,669867,920071,2,4,2,1409
966,Hoboken Waterfront,condo,4902,6146,2,4,2,1307
967,Downtown Bridgeport,single-family home,2820,3677,1,3,1,1156
968,Downtown Jersey City,apartment,549156,700922,0,2,1,737
974,SoHo,single-family home,7898,10222,2,4,2,1674
975,Forest Hills,apartment,3247,3926,1,3,1,908
976,Chelsea,single-family home,6516,8073,1,3,1,1231
977,DUMBO,duplex,703031,990933,1,3,1,1086
978,Hoboken Waterfront,apartment,3991,5357,1,3,1,933
981,West Hartford Center,duplex,685211,863485,1,3,1,1210
983,Hoboken Waterfront,duplex,966050,1346661,4,6,4,2071
984,Chelsea,apartment,7406,9187,2,4,2,1497
987,Forest Hills,apartment,509526,629721,1,3,1,984
988,Downtown Stamford,condo,5163,6447,2,4,2,1162
989,DUMBO,townhouse,1453093,1917037,4,6,4,2261
990,Financial District,single-family home,562587,803406,0,2,1,771
993,Downtown Jersey City,apartment,776971,967962,2,4,2,1172
994,SoHo,condo,1472482,1898584,2,4,2,1530
996,Downtown Jersey City,condo,7688,9430,4,6,4,2070
997,Financial District,apartment,4692,5426,0,2,1,872
998,Riverdale,single-family home,3968,4795,2,4,2,1711
999,Montclair Center,co-op,3377,3832,0,2,1,684
1000,Hoboken Waterfront,duplex,5441,7643,2,4,2,1522
