property_id,neighborhood_id,street_address,city,state,zip_code,property_type,square_feet,bedrooms,bathrooms,year_built
359,9,6534 Dodson Forges,New York,NY,10023,co-op,1174,2,2,1947
360,3,8054 Jones Ford,New York,NY,11105,apartment,2198,4,3,2010
361,22,4602 Clark Route,Greenwich,CT,06831,duplex,2332,3,3,1956
362,10,9713 Brandon Light,New York,NY,11102,condo,1599,2,2,1933
363,3,450 Rachel Crescent,New York,NY,11201,condo,1405,2,2,1969
364,1,7193 Smith Garden,New York,NY,11249,condo,1526,3,2,1947
365,6,6713 Joyce Loaf,New York,NY,10463,townhouse,2971,4,3,1973
366,11,3975 Nathan Villages,New York,NY,10021,apartment,1185,1,2,1994
367,13,6186 Williams Divide,New York,NY,10003,co-op,722,1,1,1967
368,17,9549 Christy Green,Jersey City,NJ,07306,apartment,1305,2,3,1978
369,3,6863 Becker Station,New York,NY,11102,condo,673,1,2,1914
370,12,8806 Harris Wells,New York,NY,11354,single-family home,3110,3,2,1991
371,21,4077 Ortiz Branch,Stamford,CT,06905,co-op,1928,4,2,1995
372,18,735 Colon Lane,Jersey City,NJ,07310,single-family home,3441,4,2,1992
373,6,5442 Kirby Field,New York,NY,11249,apartment,1277,1,1,1965
374,10,3647 King Branch,New York,NY,11101,townhouse,2552,2,2,2005
375,3,9434 Williams Trafficway,New York,NY,10019,co-op,1153,1,1,1967
376,1,9653 Anderson Spurs,New York,NY,10301,townhouse,2732,4,3,1974
377,22,7919 Chad Crescent,Greenwich,CT,06830,apartment,1302,1,3,1947
378,15,1911 Erik Turnpike,New York,NY,11201,townhouse,2774,5,4,1928
379,17,7470 Jones Plain,Jersey City,NJ,07304,condo,1687,3,1,1976
380,6,1609 Jackson Streets,New York,NY,10036,apartment,948,1,3,2002
381,11,1110 Moses Stravenue,New York,NY,10022,townhouse,2368,3,3,1915
382,9,380 Mitchell Heights,New York,NY,10023,apartment,2121,4,2,1992
383,23,4006 Foley Green,Bridgeport,CT,06606,condo,1501,3,2,1932
384,16,9182 Kathleen Locks,New York,NY,10028,townhouse,2757,4,2,1969
385,11,3032 Stephanie Point,New York,NY,10013,condo,1193,2,2,1991
386,9,488 Gonzalez Path,New York,NY,11201,apartment,1086,1,2,1988
387,22,9712 Taylor Coves,Greenwich,CT,06831,condo,1592,3,3,1959
388,23,4570 Jeremy Village,Bridgeport,CT,06606,condo,1361,2,1,2013
389,11,1677 Lopez Track,New York,NY,11249,apartment,1016,1,1,2021
390,7,5350 John Ridges,New York,NY,10014,single-family home,3455,5,4,1968
391,3,8029 Kim Divide,New York,NY,11101,townhouse,3101,5,3,1991
392,15,6441 Harper Canyon,New York,NY,11105,co-op,687,1,1,1924
393,19,7511 Kayla Stream,Hoboken,NJ,07030,single-family home,3110,3,5,2014
394,18,4883 Williams Bridge,Jersey City,NJ,07310,single-family home,3372,6,3,1985
395,21,1941 Matthew Glen,Stamford,CT,06901,apartment,1479,3,2,1949
396,21,2326 Michael Flats,Stamford,CT,06905,apartment,1094,1,2,1959
397,11,9427 Peter Drives,New York,NY,10025,single-family home,3146,4,2,1964
398,4,8814 Wagner Fork,New York,NY,10301,townhouse,3090,4,3,1992
399,11,9101 Courtney Isle,New York,NY,10013,single-family home,3716,5,4,1972
400,8,5164 Johnson Mill,New York,NY,10036,single-family home,3674,5,2,1989
401,9,7949 Megan Rapids,New York,NY,10012,single-family home,2776,2,5,1934
402,6,8291 Hawkins Divide,New York,NY,11375,apartment,2173,4,1,1973
403,18,6819 Brown Spur,Jersey City,NJ,07306,condo,1039,1,1,1972
404,8,515 Robert Place,New York,NY,11249,condo,1315,2,2,2007
405,10,4513 Christine Extension,New York,NY,10019,single-family home,3052,4,3,1978
406,15,7502 Wood Divide,New York,NY,11105,co-op,1295,2,2,2005
407,18,9016 Gabrielle Avenue,Jersey City,NJ,07310,apartment,1472,3,2,1924
408,6,8908 Smith Centers,New York,NY,10024,single-family home,2497,4,3,1979
409,13,7241 Mack Crest,New York,NY,11102,duplex,2270,3,4,1937
410,4,4065 Kathleen Camp,New York,NY,10022,condo,957,1,1,2021
411,22,4315 Andrew View,Greenwich,CT,06831,single-family home,3483,5,2,2020
412,10,1933 Pineda Rue,New York,NY,11215,apartment,1333,2,1,2013
413,9,9642 Campbell Ridges,New York,NY,10301,townhouse,3095,4,2,1954
414,8,7025 Cole Summit,New York,NY,10013,condo,1577,3,2,1988
415,21,3400 Felicia Ridge,Stamford,CT,06901,single-family home,2572,2,4,1982
416,11,9788 Reed Roads,New York,NY,11102,duplex,2634,4,2,1931
417,12,4804 Mendoza Drives,New York,NY,10022,duplex,2665,5,2,1983
418,1,8438 Herrera Lake,New York,NY,10463,condo,1162,1,2,2014
419,8,6753 Drew Route,New York,NY,10002,single-family home,2296,2,3,1945
420,2,2184 Sylvia Loaf,New York,NY,10019,apartment,1203,2,1,1928
421,9,4065 Macias Land,New York,NY,11215,condo,1349,3,3,2017
422,2,2339 Ryan Hills,New York,NY,11105,duplex,2099,2,3,1990
423,7,6156 Brad Loop,New York,NY,10036,condo,1024,1,2,1919
424,3,1535 Vanessa Crossroad,New York,NY,10025,apartment,1846,4,1,1975
425,19,6056 Clark Lodge,Hoboken,NJ,07030,co-op,1062,1,3,1972
426,3,1536 Stephenson Mount,New York,NY,11201,single-family home,2392,2,3,1968
427,18,5879 Wallace Loaf,Jersey City,NJ,07302,duplex,2860,5,4,2011
428,6,7049 Cox Islands,New York,NY,10014,condo,1339,2,1,1973
429,12,4656 Anderson Pines,New York,NY,10023,apartment,1644,3,1,1980
430,19,7961 John Station,Hoboken,NJ,07030,townhouse,2386,4,2,1997
431,12,1641 Ashley Well,New York,NY,11375,apartment,1256,2,2,2010
432,4,2045 Mccullough Plaza,New York,NY,10013,condo,1952,4,1,1966
433,18,3324 Brooks Inlet,Jersey City,NJ,07304,apartment,1876,4,1,2022
434,14,4499 Philip Mountains,New York,NY,10003,apartment,1144,1,3,1993
435,22,6102 Amy Mission,Greenwich,CT,06830,single-family home,3047,4,4,1916
436,7,3846 Conway Trail,New York,NY,10028,townhouse,2423,3,2,1993
437,13,3506 Williams Forge,New York,NY,10038,single-family home,2940,4,2,1919
438,7,8520 Arnold Estate,New York,NY,10463,townhouse,2663,4,3,1966
439,8,1985 Giles Meadows,New York,NY,10028,single-family home,2663,3,3,1998
440,2,3761 Sherry Burg,New York,NY,10025,single-family home,3228,4,4,1921
441,1,1700 Paul Shores,New York,NY,10023,townhouse,2232,3,2,1957
442,9,6280 Joshua Summit,New York,NY,11215,apartment,1062,1,1,2014
443,2,2350 Danielle Ports,New York,NY,10003,single-family home,2403,2,3,1977
444,22,2698 Edward Island,Greenwich,CT,06831,apartment,1868,4,1,1954
445,17,2490 Sanchez Streets,Jersey City,NJ,07306,co-op,1445,3,2,1988
446,3,3569 Kathryn Oval,New York,NY,10003,single-family home,2841,3,3,1922
447,18,9669 Bishop Track,Jersey City,NJ,07306,condo,2103,4,2,1954
448,1,2300 Erica Turnpike,New York,NY,10019,apartment,1344,2,1,1945
449,17,9076 Christopher Branch,Jersey City,NJ,07310,single-family home,3083,4,3,1986
450,11,449 Martin Course,New York,NY,10463,condo,2045,4,2,2022
451,18,9953 Huynh Knolls,Jersey City,NJ,07310,single-family home,2997,4,3,1934
452,19,904 Julia Forest,Hoboken,NJ,07030,duplex,2880,4,3,1973
453,19,8195 Pittman Lake,Hoboken,NJ,07030,single-family home,3533,4,2,1977
454,10,5926 Silva Village,New York,NY,10023,single-family home,2854,4,3,1926
455,4,9322 Alvarez Squares,New York,NY,10028,single-family home,3362,4,3,1956
456,11,7727 Keith Courts,New York,NY,11215,apartment,1851,4,2,1919
457,23,4305 Rachel Drive,Bridgeport,CT,06604,condo,1569,2,3,1915
458,5,6530 Robert Place,New York,NY,11101,condo,1011,1,1,1946
459,1,6816 Moore Plaza,New York,NY,10028,apartment,2104,4,1,1999
460,12,8801 Graves Harbors,New York,NY,11102,apartment,1704,3,2,1988
461,17,5087 Theresa Shore,Jersey City,NJ,07302,single-family home,4024,6,3,1975
462,2,2555 Regina Court,New York,NY,11102,single-family home,2453,3,3,1951
463,19,1093 Derek Light,Hoboken,NJ,07030,co-op,1252,2,2,1999
464,21,3919 Gray Extension,Stamford,CT,06901,apartment,1767,3,2,1941
465,4,7438 Brenda Viaduct,New York,NY,11354,condo,1285,1,2,1987
466,4,2887 Galvan Prairie,New York,NY,10011,apartment,1059,0,1,1911
467,12,195 Seth Brooks,New York,NY,10013,single-family home,3412,5,3,1973
468,6,8484 Potts Port,New York,NY,11249,apartment,1747,3,1,2015
469,7,6102 Blackwell Corner,New York,NY,10012,co-op,1254,2,2,2005
470,14,1944 Jones Dale,New York,NY,11215,duplex,2375,4,4,1913
471,18,4466 Byrd Drive,Jersey City,NJ,07310,co-op,1170,1,2,1918
472,11,1272 Victoria Turnpike,New York,NY,10038,co-op,1539,2,2,1968
473,4,8195 Suzanne Islands,New York,NY,11105,single-family home,3300,3,2,1931
474,10,1695 Dawson Turnpike,New York,NY,11105,apartment,1201,2,1,1996
475,22,8346 Michael Union,Greenwich,CT,06830,duplex,1881,3,3,1915
476,22,4016 Smith Ramp,Greenwich,CT,06830,apartment,1265,2,2,1970
477,11,2942 Frey Lakes,New York,NY,10002,apartment,1778,4,2,1980
478,11,6880 Lee Harbors,New York,NY,10019,condo,1062,1,1,1951
479,20,5251 Tracy Expressway,Montclair,NJ,07043,apartment,842,1,2,2015
480,1,8235 Debra Squares,New York,NY,10463,apartment,1667,3,1,1916
481,1,8460 Baker Meadows,New York,NY,10002,condo,1567,3,1,1961
482,10,4635 Williams Summit,New York,NY,11215,co-op,1297,2,1,2018
483,7,9071 Hopkins Isle,New York,NY,10036,apartment,1533,2,1,1911
484,6,9247 David Road,New York,NY,11249,townhouse,2716,3,3,1948
485,18,7610 Jessica Brook,Jersey City,NJ,07305,condo,1306,2,3,1985
486,22,3211 James Mountains,Greenwich,CT,06830,townhouse,2668,4,2,1929
487,8,3827 Price Square,New York,NY,11102,single-family home,3072,4,3,1954
488,13,167 Terry Isle,New York,NY,10023,apartment,1695,3,3,1910
489,13,5048 Pratt Walk,New York,NY,10011,apartment,1444,2,2,1936
490,15,6888 Russell Junctions,New York,NY,10038,single-family home,3038,4,2,1917
491,7,4594 Sherri Stravenue,New York,NY,10003,apartment,1803,4,2,1915
492,4,8525 Tran Overpass,New York,NY,10028,single-family home,3374,4,3,1999
493,14,1401 Adams Mission,New York,NY,11105,apartment,1255,2,2,1922
494,4,6471 Linda Island,New York,NY,10003,single-family home,3020,4,3,1985
495,1,2151 Andrew Crossroad,New York,NY,10019,apartment,1430,2,2,1947
496,9,6448 John Fall,New York,NY,10301,single-family home,2820,3,5,2016
497,18,7427 Brown Ports,Jersey City,NJ,07305,duplex,2612,4,3,1939
498,8,9589 Kimberly Way,New York,NY,10011,townhouse,2868,4,4,1929
499,4,5155 Alec Bridge,New York,NY,10028,single-family home,3009,5,2,1925
500,7,3411 Berg River,New York,NY,10036,duplex,2453,4,3,1949
501,24,1974 Eric Road,West Hartford,CT,06107,condo,1611,3,2,1930
502,23,9894 Welch Isle,Bridgeport,CT,06604,apartment,1342,2,2,1937
503,9,2440 Cheyenne Centers,New York,NY,10003,townhouse,2486,3,3,2001
504,3,6502 James Summit,New York,NY,11101,condo,1045,2,1,1916
505,13,2858 Jacob Stravenue,New York,NY,10001,single-family home,2571,3,3,1961
506,17,9023 Adam Turnpike,Jersey City,NJ,07304,condo,1561,2,1,1922
507,16,2300 Jason Stravenue,New York,NY,10011,townhouse,2247,2,3,1911
508,11,2151 Paul Road,New York,NY,10014,single-family home,3487,5,3,2015
509,19,1386 Thomas Flat,Hoboken,NJ,07030,single-family home,3200,4,3,2014
510,17,7275 Jacobs Ferry,Jersey City,NJ,07304,apartment,1626,3,2,1921
511,2,5442 Roberts Springs,New York,NY,10011,co-op,1383,2,3,1915
512,12,2762 Scott Parkways,New York,NY,11105,apartment,1903,4,2,1965
513,7,8138 Christopher Flat,New York,NY,10001,condo,1598,3,1,1958
514,7,5809 Thomas Plains,New York,NY,10014,single-family home,3035,4,3,1933
515,3,2445 Holly Squares,New York,NY,10002,condo,1968,4,1,1988
516,4,4845 Jacob Vista,New York,NY,10038,single-family home,3179,4,4,1962
517,24,1009 Avila Forks,West Hartford,CT,06107,apartment,861,1,2,1945
518,1,3277 Ralph Villages,New York,NY,11375,apartment,1558,3,1,2023
519,11,8917 Guzman Parkways,New York,NY,11249,townhouse,2627,3,2,1912
520,10,5893 Robinson Glen,New York,NY,10038,co-op,1346,2,1,1979
521,21,9277 Moss Pines,Stamford,CT,06905,single-family home,2318,4,3,1951
522,6,437 Diana Springs,New York,NY,10023,duplex,2257,2,3,1986
523,6,4612 Campbell Estates,New York,NY,10002,apartment,1325,2,3,2013
524,2,5866 Bryan Park,New York,NY,11215,apartment,1222,2,2,1984
525,6,1650 Orr Circle,New York,NY,10019,condo,1091,1,1,1994
526,22,926 Miller Track,Greenwich,CT,06830,apartment,1379,3,3,1983
527,2,6373 Smith Summit,New York,NY,10024,apartment,2229,4,2,2017
528,17,2895 Lucas Trail,Jersey City,NJ,07304,duplex,2264,3,3,1985
529,12,5888 Wolfe Rest,New York,NY,11105,condo,979,1,3,1913
530,13,9310 Ashley Stream,New York,NY,11105,apartment,1474,2,2,1928
531,12,8074 Hayes Summit,New York,NY,11102,duplex,2493,4,3,1949
532,9,1488 Wood Hills,New York,NY,10002,condo,1380,2,2,1939
533,11,8635 Edwards Summit,New York,NY,10038,single-family home,2946,4,3,1910
534,5,3310 Jeremy Extension,New York,NY,11249,co-op,1077,1,1,1926
535,15,5311 Hannah Lodge,New York,NY,10002,co-op,1460,2,3,1912
536,3,2330 Hobbs Islands,New York,NY,11215,co-op,1669,3,2,1924
537,17,5988 Ford Mountain,Jersey City,NJ,07302,condo,1119,1,2,1957
538,5,6491 Hernandez Street,New York,NY,11105,duplex,2831,5,2,1922
539,8,2245 Barnes Burg,New York,NY,10013,single-family home,3775,6,3,2003
540,16,7992 Kristina Light,New York,NY,11375,apartment,1360,3,1,1950
541,1,5856 Reginald Bridge,New York,NY,10019,condo,1026,2,1,1995
542,4,6209 Moody Shore,New York,NY,10022,condo,1955,4,2,2003
543,10,2921 Edward Ferry,New York,NY,11201,co-op,2132,4,1,1910
544,14,6425 Cody Lock,New York,NY,11215,apartment,1776,3,1,1982
545,13,3629 Hernandez Junction,New York,NY,11375,townhouse,2213,3,4,1982
546,3,5435 Andrew Lock,New York,NY,11201,duplex,2069,2,2,1919
547,8,2760 Kevin Walk,New York,NY,11375,townhouse,2603,4,2,2023
548,4,5510 Perez Oval,New York,NY,10036,condo,1529,3,1,1911
549,8,1120 Reynolds Walk,New York,NY,10024,condo,1881,4,3,1942
550,2,30 Tony Shores,New York,NY,10002,condo,1082,1,2,1959
551,18,2735 Michael Coves,Jersey City,NJ,07306,single-family home,3106,5,3,1973
552,1,8956 Stephanie Squares,New York,NY,10025,townhouse,2508,2,3,1922
553,8,9480 Franklin Divide,New York,NY,11375,townhouse,2688,4,3,2007
554,10,7403 April Park,New York,NY,10003,townhouse,3018,4,4,2012
555,5,338 Robert Bridge,New York,NY,10023,townhouse,2924,4,4,1943
556,13,5610 Welch Junction,New York,NY,10013,apartment,1219,2,1,2023
557,13,1238 Sutton Meadow,New York,NY,11102,single-family home,2929,4,3,1921
558,5,7919 Carol Pines,New York,NY,10301,condo,1313,2,1,1913
559,11,2713 Peterson Landing,New York,NY,11354,condo,1036,1,2,2023
560,2,1669 Mike Mountains,New York,NY,10023,single-family home,3586,5,4,1936
561,2,9088 Andrew Land,New York,NY,11201,townhouse,2968,5,3,2003
562,12,4622 Sanchez Islands,New York,NY,10022,apartment,1603,2,1,1940
563,10,9015 Renee Island,New York,NY,10038,condo,1449,2,1,1929
564,3,1445 Buchanan Point,New York,NY,10022,apartment,1070,1,3,2015
565,12,7879 Ray Isle,New York,NY,10014,condo,1001,1,2,1922
566,14,4791 Rachel Islands,New York,NY,10003,apartment,1004,1,1,1970
567,6,6522 Jean Ridge,New York,NY,10038,apartment,1000,1,1,1972
568,20,1503 Lisa Gateway,Montclair,NJ,07043,townhouse,2388,2,3,1933
569,6,6062 Elliott Brook,New York,NY,10013,townhouse,2341,3,4,1967
570,22,4325 Dixon Court,Greenwich,CT,06830,apartment,1505,3,2,2017
571,20,2486 Christensen Road,Montclair,NJ,07042,duplex,3016,5,2,1920
572,15,8881 Miller Overpass,New York,NY,10028,apartment,1790,3,3,2006
573,22,1009 Morrison Stream,Greenwich,CT,06831,condo,1055,0,1,2014
574,11,7789 Jones Loaf,New York,NY,11105,apartment,1432,2,2,2022
575,22,1303 Lacey Harbor,Greenwich,CT,06831,townhouse,2462,3,3,2019
576,8,9368 Michael Tunnel,New York,NY,11101,townhouse,2331,4,3,2012
577,6,2425 Thomas Fork,New York,NY,10011,condo,994,1,2,2006
578,21,3481 Mark Views,Stamford,CT,06901,single-family home,2974,4,3,1926
579,2,7143 Hoffman Tunnel,New York,NY,10014,townhouse,3078,4,2,2015
580,21,9759 Frye Oval,Stamford,CT,06902,apartment,1271,2,1,1950
581,2,1107 Jacobs Plain,New York,NY,10003,single-family home,2896,5,4,1959
582,12,5353 Madison Rue,New York,NY,10021,apartment,1533,3,2,1976
583,4,9636 Susan Ranch,New York,NY,11101,apartment,1140,1,1,2010
584,1,2461 Kenneth Circle,New York,NY,10012,apartment,1351,2,2,1982
585,8,1651 Alexandra Parkways,New York,NY,10011,condo,1476,2,1,1982
586,17,4697 Wright Lane,Jersey City,NJ,07310,townhouse,2946,3,3,2022
587,3,4337 Haynes Walk,New York,NY,10025,apartment,1655,3,3,1993
588,4,7760 Kenneth Ford,New York,NY,10002,apartment,1694,3,2,1932
589,14,9982 Kenneth Burgs,New York,NY,10463,single-family home,3280,5,4,1998
590,15,5441 Miller Mountain,New York,NY,10301,condo,2075,4,1,1940
591,13,6112 Sean Light,New York,NY,10001,apartment,1635,3,1,1953
592,22,5104 Brittney Trace,Greenwich,CT,06831,apartment,756,1,2,2017
593,11,1619 Rodriguez Harbor,New York,NY,10019,single-family home,2646,3,3,1927
594,16,7269 Hill Squares,New York,NY,11215,co-op,1575,3,1,2015
595,10,6838 Mitchell Radial,New York,NY,11354,condo,1835,4,1,1992
596,13,6681 Marcus Brook,New York,NY,11201,apartment,1780,4,1,1972
597,21,930 Brian Islands,Stamford,CT,06905,apartment,1732,3,3,2011
598,16,8313 Wood Island,New York,NY,10025,condo,970,1,1,1927
599,2,9327 Pierce Road,New York,NY,10001,apartment,921,1,2,1932
600,3,3298 Lucas Locks,New York,NY,10002,townhouse,2615,3,2,1941
601,3,3272 Mark Villages,New York,NY,10021,duplex,3019,5,3,1957
602,16,6513 Dawn Islands,New York,NY,11375,townhouse,3276,4,2,1925
603,1,6112 Nicole Centers,New York,NY,10038,condo,2040,4,2,1986
604,16,9625 Tyler Cliff,New York,NY,11102,duplex,2689,5,3,1954
605,5,4247 Edward Pike,New York,NY,11201,single-family home,2743,3,4,2016
606,14,459 Shelby Freeway,New York,NY,10025,condo,1417,2,1,1916
607,18,3521 Karen Knolls,Jersey City,NJ,07304,duplex,2988,5,2,1992
608,6,4418 Miller Junctions,New York,NY,11375,apartment,1061,1,3,1962
609,14,155 Travis Plains,New York,NY,10038,townhouse,2522,3,3,1926
610,14,148 Alicia Row,New York,NY,10019,apartment,1597,3,1,1942
611,15,4521 Neal Plaza,New York,NY,10028,condo,1420,2,1,1958
612,24,4138 Lisa Mission,West Hartford,CT,06107,apartment,900,1,2,1969
613,23,6516 Darius Ways,Bridgeport,CT,06606,single-family home,2944,4,4,1923
614,6,6141 Perez Centers,New York,NY,11102,single-family home,3022,4,2,1992
615,8,4900 Brian Ville,New York,NY,10463,duplex,2504,4,3,1923
616,2,4539 Timothy Canyon,New York,NY,11375,apartment,1096,1,2,1951
617,22,4905 Katherine Drives,Greenwich,CT,06830,condo,1783,3,2,1929
618,3,940 Vincent Islands,New York,NY,11249,condo,1438,2,1,2019
619,8,6630 Avila Skyway,New York,NY,10463,co-op,1931,4,2,1950
620,19,427 Smith Track,Hoboken,NJ,07030,co-op,1820,3,2,1947
621,13,6638 Vasquez Skyway,New York,NY,10025,townhouse,2464,3,2,2004
622,4,3121 Pierce Canyon,New York,NY,10023,townhouse,2647,3,3,2002
623,3,8769 Brittany Fords,New York,NY,11375,duplex,3246,5,4,2010
624,3,5883 Brandi Avenue,New York,NY,11101,apartment,908,0,2,1948
625,11,9156 Miles Prairie,New York,NY,10013,co-op,916,0,2,1947
626,17,4247 Hicks Village,Jersey City,NJ,07310,apartment,1881,3,2,2007
627,4,5509 Randy Drive,New York,NY,11375,apartment,1093,2,2,1921
628,21,5041 Rose Summit,Stamford,CT,06902,townhouse,2421,3,3,2010
629,4,4279 Baker Landing,New York,NY,11105,townhouse,2096,3,4,1947
630,13,7719 Moore Flats,New York,NY,10002,single-family home,2663,5,3,2020
631,17,1176 Cook Islands,Jersey City,NJ,07306,co-op,1083,2,1,2023
632,22,6263 Long Run,Greenwich,CT,06831,condo,1937,4,2,1962
633,14,2260 Hayes Mission,New York,NY,10014,co-op,1014,1,1,1953
634,10,7506 Harris Creek,New York,NY,10012,single-family home,2591,3,2,1950
635,9,1334 Paul Coves,New York,NY,10038,duplex,2434,4,3,1952
636,24,5144 James Port,West Hartford,CT,06119,townhouse,2547,3,3,1917
637,2,2772 Whitaker Spring,New York,NY,11105,duplex,2317,2,3,2007
638,18,1452 Olivia Viaduct,Jersey City,NJ,07304,townhouse,2608,4,4,1988
639,2,6619 Ward Center,New York,NY,10028,condo,1185,1,3,1971
640,16,8755 Ashley Ville,New York,NY,10014,apartment,882,1,1,2003
641,9,5289 Robinson Burg,New York,NY,11215,apartment,968,0,3,2016
642,8,77 Smith Village,New York,NY,11375,apartment,1674,3,2,2003
643,3,5651 Michelle Ford,New York,NY,10022,apartment,1657,3,2,1926
644,7,5025 Arroyo Loaf,New York,NY,10013,condo,1574,3,2,1918
645,9,4774 Ellis Lock,New York,NY,10036,duplex,2609,3,3,2003
646,22,5545 Samantha Neck,Greenwich,CT,06831,apartment,1964,4,2,2023
647,19,5625 Norton Shores,Hoboken,NJ,07030,apartment,1651,3,3,1955
648,1,6619 Chris Coves,New York,NY,10001,apartment,1304,2,2,1939
649,15,3470 Melissa River,New York,NY,11201,apartment,2071,4,1,1912
650,15,2027 Mercedes Harbor,New York,NY,10024,single-family home,2529,2,3,2001
651,11,6157 Kevin Light,New York,NY,11375,condo,1202,1,2,1942
652,11,806 Colton Land,New York,NY,11354,apartment,1642,3,1,1916
653,21,333 Debbie Manors,Stamford,CT,06901,townhouse,2366,3,4,1998
654,14,2034 Jones Mall,New York,NY,11102,apartment,1644,3,2,1942
655,24,3376 Kenneth Bypass,West Hartford,CT,06119,co-op,1329,2,2,1997
656,12,6905 Kevin Greens,New York,NY,10463,apartment,1157,2,3,1922
657,20,9932 Conrad Union,Montclair,NJ,07042,apartment,905,1,1,1963
658,14,8391 David Roads,New York,NY,11201,condo,1681,3,1,1989
659,15,1751 Nicole Mountains,New York,NY,10038,apartment,1500,3,3,1935
660,10,4318 Alexis Corners,New York,NY,11101,apartment,1674,3,2,1935
661,2,4849 Spencer Prairie,New York,NY,10013,co-op,1730,3,3,1915
662,12,7885 Nelson Squares,New York,NY,10023,condo,1642,3,2,1940
663,11,1819 Brown Square,New York,NY,11105,condo,1403,3,2,1995
664,11,8393 Jason Locks,New York,NY,10003,co-op,843,1,2,2002
665,11,3797 Johnson Parks,New York,NY,10036,condo,963,1,1,1947
666,3,1645 Rivas Loop,New York,NY,10013,condo,1346,2,1,2021
667,8,5133 Teresa Ports,New York,NY,10028,co-op,1380,2,1,2004
668,9,761 Diane Trail,New York,NY,10001,apartment,971,1,2,2019
669,18,2803 Mckinney Stravenue,Jersey City,NJ,07305,apartment,1839,3,1,1955
670,8,4405 Harris Grove,New York,NY,11201,co-op,921,1,2,1921
671,1,3006 Emily Well,New York,NY,10011,single-family home,3143,3,4,1961
672,8,4463 Jimmy Mission,New York,NY,10025,single-family home,2572,3,2,1998
673,11,6919 Wendy Cape,New York,NY,11375,apartment,971,1,3,2023
674,22,2181 Hansen Squares,Greenwich,CT,06830,co-op,1013,1,2,2018
675,15,9688 Conner Stravenue,New York,NY,10038,duplex,2521,3,3,2012
676,12,2979 Justin Corners,New York,NY,11354,condo,1066,1,1,1958
677,9,482 Bryant Mountains,New York,NY,10463,single-family home,3278,4,2,2022
678,15,7924 Nathaniel Landing,New York,NY,10038,single-family home,3063,4,3,1924
679,2,763 Malik Route,New York,NY,10003,single-family home,2717,5,2,1943
680,14,8608 Russell Prairie,New York,NY,11215,duplex,3251,4,3,2005
681,1,3679 Watson Key,New York,NY,10463,apartment,1101,1,1,2021
682,3,1570 Hernandez Spring,New York,NY,10028,single-family home,3046,3,3,1994
683,5,5674 Lowe Lodge,New York,NY,10463,condo,1006,1,2,1996
684,1,9157 Ali Corners,New York,NY,11354,apartment,974,1,2,1916
685,1,7698 Dyer Isle,New York,NY,10038,single-family home,2776,4,3,2021
686,4,8065 Brewer Mission,New York,NY,10023,condo,1342,2,1,1940
687,2,834 Pamela Junctions,New York,NY,11101,duplex,1956,2,4,1938
688,3,6617 Carol Plains,New York,NY,10019,apartment,1775,3,2,1920
689,18,9398 Melissa Ports,Jersey City,NJ,07306,duplex,2791,4,2,1921
690,4,5188 Tiffany Turnpike,New York,NY,10011,apartment,1573,3,2,1973
691,22,1691 Makayla Locks,Greenwich,CT,06831,townhouse,2079,2,4,1962
692,9,1499 Madeline Creek,New York,NY,11249,apartment,1139,2,1,1987
693,9,5000 April Ports,New York,NY,11101,condo,1585,3,2,1981
694,8,7484 Jonathan Plaza,New York,NY,10023,apartment,1497,3,2,1956
695,4,3662 Jodi Spur,New York,NY,10036,condo,907,1,2,1952
696,13,9839 Burns Islands,New York,NY,10038,single-family home,3444,4,2,2001
697,9,7424 Kelley Locks,New York,NY,10011,single-family home,3532,4,4,1922
698,18,45 Robinson Keys,Jersey City,NJ,07305,townhouse,2607,3,3,1955
699,17,4793 Watts Coves,Jersey City,NJ,07310,apartment,1463,2,1,1976
700,14,760 Danielle Motorway,New York,NY,10013,townhouse,2617,5,2,1973
701,2,6714 Mary Terrace,New York,NY,10011,single-family home,2800,3,5,1942
702,24,1988 Jennifer Underpass,West Hartford,CT,06117,apartment,1482,2,2,1937
703,8,3132 Tyler Cliffs,New York,NY,10301,duplex,2539,2,3,1953
704,6,9657 Allen Lodge,New York,NY,10011,condo,1785,3,1,2008
705,20,9665 Bryan Plains,Montclair,NJ,07042,co-op,1685,3,2,1973
706,21,9074 Stephanie Field,Stamford,CT,06902,condo,1775,4,2,2017
707,3,2913 Allen Hill,New York,NY,10301,condo,1878,4,1,1984
708,17,2113 Jamie Views,Jersey City,NJ,07302,condo,1607,3,2,1959
709,11,5283 Carl Mission,New York,NY,11101,single-family home,2717,4,3,2022
710,12,4077 Robert Knolls,New York,NY,10021,single-family home,2742,4,3,1960
711,16,7429 Smith Ranch,New York,NY,11249,apartment,1059,1,3,1927
712,15,8403 Cooper Landing,New York,NY,10022,apartment,1539,2,2,2017
713,12,5153 Kevin River,New York,NY,10301,condo,963,1,1,2004
714,11,3570 Reid Ramp,New York,NY,10014,apartment,1059,0,2,1936
715,12,5667 Erin Bypass,New York,NY,10463,co-op,920,1,2,1926
716,11,2923 Flores Burgs,New York,NY,11101,condo,916,1,2,1979
717,15,1900 Haynes Wall,New York,NY,11215,single-family home,3515,4,2,1955
718,1,9359 Mullins Trail,New York,NY,10463,co-op,1082,0,2,2000
719,22,8757 Roberto Radial,Greenwich,CT,06831,duplex,2677,4,3,2022
